Date,Open,High,Low,Close,Volume,Adj Close
2015-03-05,226.95,227.95,225.95,226.25,40539100,226.25
2015-03-04,225.5,227.58,224.5,227.35,48706900,227.35
2015-03-03,225.65,227.5,224.95,225,51163600,225
2015-03-02,224.3,227,223.55,224.7,58471000,224.7
2015-02-27,224.7,224.99,223,224.4,44080500,224.4
2015-02-26,222.25,225,222.1,224.7,45246900,224.7
2015-02-25,224.5,226.15,222.4,223.7,63905000,223.7
2015-02-24,228.05,228.65,224.55,226.5,84846500,226.5
2015-02-23,234,236.5,231.85,232.7,36391400,232.7
2015-02-20,229.7,232.6,228.05,232.4,69849700,232.4
2015-02-19,225.8,228.95,225.08,228.4,45247100,228.4
2015-02-18,234,234,224.25,225.45,69385600,225.45
2015-02-17,231.95,232.15,228.55,231.25,39765200,231.25
2015-02-16,232.2,232.2,229.3,230,27139100,230
2015-02-13,232,233.95,230.55,232.4,38429200,232.4
2015-02-12,230.2,232.5,229.65,231.3,62272500,231.3
2015-02-11,230.4,231.75,228.28,229.9,37428800,229.9
2015-02-10,228.8,232.1,228.15,230.95,53820100,230.95
2015-02-09,230.1,232,228.05,228.8,62232200,228.8
2015-02-06,230.5,232.35,228.25,231.4,56937400,231.4
2015-02-05,235,238.65,229.24,230.9,96565300,230.9
2015-02-04,235.8,236.5,232.84,236.5,77770300,236.5
2015-02-03,233.95,237.38,233.55,236.9,46770400,236.9
2015-02-02,234,235.2,231.24,233.85,46099700,233.85
2015-01-30,239.55,239.55,234.5,234.5,72163900,234.5
2015-01-29,236.5,238.7,234.35,237.65,73147900,237.65
2015-01-28,238.9,239,236,237.25,54435300,237.25
2015-01-27,239.15,240.1,234.75,236.7,46530300,236.7
2015-01-26,238.8,241.7,237.7,238.65,47738900,238.65
2015-01-23,241.1,245.9,238.14,239.9,91351400,239.9
2015-01-22,238.9,239.35,234.65,238.7,77157600,238.7
2015-01-21,231.45,238.7,230.9,238.15,96098400,238.15
2015-01-20,230.8,231.85,228.75,230,45061700,230
2015-01-19,227.55,232.7,227.5,229.45,46348000,229.45
2015-01-16,226.3,229.5,225.15,227.8,72118600,227.8
2015-01-15,227.9,228.2,221.3,227.9,80235400,227.9
2015-01-14,226,228.9,224.47,225.25,64600600,225.25
2015-01-13,227.05,230.45,226.07,229,61604300,229
2015-01-12,225,228.11,225,226.8,42753600,226.8
2015-01-09,225.6,227.21,223.4,224.9,53996700,224.9
2015-01-08,218.7,227.1,211.01,225.75,85404200,225.75
2015-01-07,216.4,219.25,214.65,216,45676900,216
2015-01-06,216.1,218.25,213.8,215.35,59688300,215.35
2015-01-05,220.85,223.2,215.8,216.45,61154100,216.45
2015-01-02,221,223.05,219.1,221.9,31972300,221.9
2015-01-01,222.65,222.65,222.65,222.65,0,222.65
2014-12-31,222.45,223.55,221.2,222.65,8707200,222.65
2014-12-30,224.75,224.9,220.55,221.05,24462700,221.05
2014-12-29,224.2,225.15,222.2,224.8,20702100,224.8
2014-12-26,225,225,225,225,0,225
2014-12-25,225,225,225,225,0,225
2014-12-24,223.2,226,221.05,225,5275300,225
2014-12-23,225.15,225.95,222.45,224.7,26953700,224.7
2014-12-22,224.25,227.2,223.65,225.2,29996400,225.2
2014-12-19,226.1,227.75,223.5,225,91474700,225
2014-12-18,224.85,225.62,221.15,225.6,78889700,225.6
2014-12-17,217.3,220.75,216,219.65,56192300,219.65
2014-12-16,214.85,221.06,210,219.45,97772700,219.45
2014-12-15,215.55,218.15,213.2,213.2,122341000,213.2
2014-12-12,221.2,223.05,215.19,215.3,102958800,215.3
2014-12-11,221.8,224.6,220.25,222.95,51703600,222.95
2014-12-10,223.6,224.7,221.75,222.65,46351000,222.65
2014-12-09,228.95,228.95,223.4,223.6,49437900,223.6
2014-12-08,228.65,231.21,228.4,229.95,40885000,229.95
2014-12-05,227,231.4,226.9,230.6,85923600,230.6
2014-12-04,227,228.15,223.2,223.65,79277200,223.65
2014-12-03,229.9,230.35,226.3,227.35,65501300,227.35
2014-12-02,227.35,231.5,227,229.95,49144100,229.95
2014-12-01,231.1,232.94,222.28,227.2,101333600,227.2
2014-11-28,228.55,234.75,227.9,233.95,119591200,233.95
2014-11-27,226.4,227.4,224.05,227.35,39508100,227.35
2014-11-26,225.1,227.85,224.85,225.65,53805000,225.65
2014-11-25,224.7,226.5,223.7,224.55,62641000,224.55
2014-11-24,228.65,231.32,224.25,225.05,73344600,225.05
2014-11-21,227.05,229.95,225.35,227.8,60646400,227.8
2014-11-20,225.4,227.4,224.25,226.85,62124400,226.85
2014-11-19,225.9,228.9,225.55,228.6,165036100,225
2014-11-18,230.1,231.65,226.75,228.3,123274100,224.7
2014-11-17,224.6,229.9,223.8,229.05,75948000,225.44
2014-11-14,225.8,226.6,223.1,225.3,91582900,221.75
2014-11-13,224,225.81,223.02,225.7,94576600,222.15
2014-11-12,220.05,222,218.12,222,108614700,218.5
